deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
461013,lost,gmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-07-16T15:43:41.805Z,recuperado_rd_chatgpt_com
461015,lost,INVALIDO,,,0,0,n,,sem_email
461018,won,yahoo.com.br,direto,direto,0,0,s,2026-07-10T22:35:45.805Z,recuperado_rd_direto
461029,won,gmail.com,,,0,0,n,,escuro
461036,lost,gmail.com,meta,meta,1,0,s,2026-07-16T16:46:25.842Z,recuperado_rd_meta
461048,open,sosj.com,,,0,0,n,,escuro
461056,lost,INVALIDO,,,0,0,n,,sem_email
461060,won,gmail.com,google,www.google.com,0,0,s,2026-07-16T20:17:31.261Z,recuperado_rd_google
461063,won,gmail.com,,,0,0,s,2026-07-16T21:48:00.638Z,so_meetime
461065,lost,gmail.com,direto,direto,0,0,s,2026-07-15T22:59:06.394Z,recuperado_rd_direto
461085,won,gmail.com,google,google,0,1,s,2026-07-16T20:14:00.816Z,recuperado_rd_google
461104,lost,hotmail.com,meta,meta,1,0,n,,recuperado_rd_meta
461111,open,gmail.com,google,www.google.com,0,0,s,2026-07-16T21:15:50.899Z,recuperado_rd_google
461125,won,gmail.com,,,0,0,n,,escuro
461134,lost,hotmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-06-24T16:11:51.820Z,recuperado_rd_chatgpt_com
461149,lost,INVALIDO,,,0,0,n,,sem_email
461157,lost,gmail.com,google,www.google.com,0,0,s,2026-07-15T00:01:12.800Z,recuperado_rd_google
461158,lost,hotmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-06-24T16:11:51.820Z,recuperado_rd_chatgpt_com
461172,won,gmail.com,direto,direto,0,0,s,2026-07-09T00:23:21.790Z,recuperado_rd_direto
461173,won,gmail.com,google,www.google.com,0,0,s,2026-07-03T15:26:26.825Z,recuperado_rd_google
461175,won,gmail.com,,,0,0,n,,escuro
461180,won,gmail.com,,,0,0,n,,escuro
461195,won,gmail.com,,,0,0,n,,escuro
461201,won,gmail.com,meta,meta,1,0,s,2026-06-18T23:22:39.057Z,recuperado_rd_meta
461206,open,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-10T16:21:28.424Z,recuperado_rd_cardapioweb_com
461212,lost,gmail.com,direto,direto,0,0,s,2026-07-16T21:44:32.048Z,recuperado_rd_direto
